case	revision	run	acknowledged_records	generated_overlap	records_per_second	average_rpc_ms	failed_batches	sampled
baseline-ingest	baseline	1	1000000	0.1	41640.98	1684.39	0	False
baseline-ingest	baseline	2	1000000	0.1	42848.30	1692.59	0	False
baseline-ingest	baseline	3	1000000	0.1	40566.49	1794.53	0	False
baseline-profile	baseline	1	1000000	0.1	41232.02	1771.61	0	True
fixed-profile	fixed	1	1000000	0.1	69023.14	1018.74	0	True
paired-overlap0-baseline-1	baseline	1	1000000	0	47857.85	1451.32	0	False
paired-overlap0-baseline-2	baseline	1	1000000	0	47468.29	1456.65	0	False
paired-overlap0-baseline-3	baseline	1	1000000	0	47637.98	1446.11	0	False
paired-overlap0-fixed-1	fixed	1	1000000	0	70458.92	1003.51	0	False
paired-overlap0-fixed-2	fixed	1	1000000	0	65173.47	996.23	0	False
paired-overlap0-fixed-3	fixed	1	1000000	0	69991.41	1011.65	0	False
paired-overlap10-baseline-1	baseline	1	1000000	0.1	38043.63	1849.93	0	False
paired-overlap10-baseline-2	baseline	1	1000000	0.1	43573.15	1621.14	0	False
paired-overlap10-baseline-3	baseline	1	1000000	0.1	45095.58	1597.86	0	False
paired-overlap10-fixed-1	fixed	1	1000000	0.1	61164.62	1071.66	0	False
paired-overlap10-fixed-2	fixed	1	1000000	0.1	63526.48	1006.10	0	False
paired-overlap10-fixed-3	fixed	1	1000000	0.1	69786.80	1003.87	0	False
scale2m-baseline	baseline	1	2000000	0.1	18490.38	4047.91	0	False
scale2m-fixed	fixed	1	2000000	0.1	34149.98	2163.94	0	False
